Event Code,Short Description,Full Description
50058,Tool coordinate system error,The z-direction of the tool coordinate system is almost parallel with the path direction. Recommended actions Change the tool coordinate system to achieve at least 3 degrees deviation between z-direction and path direction.
50063,Circle uncertain,"Task: arg . The points are misplaced, reason arg : 1 End point too close to start point. 2 Circle point too close to start point. 3 Circle point too close to end point. 4 Uncertain reorientation. 5 Circle too large > 240 degrees. Program ref. arg . Recommended actions Check the points of the circle and the end point of the move instruction before. The points of the circle can be verified by stepping through the circle in manual mode."
50065,Kinematics error,The destination of the movement is outside the reach of the robot or too close to a singularity. Robot arg . Recommended actions Change the destination position.
50066,Robot not active,"Attempt to coordinate motion or calculate position of deactivated robot arg . Recommended actions Activate robot from the Jogging window, or program. Check work object and program."
50067,Unit not active,"Attempt to coordinate motion or calculate position of deactivated single unit arg . Recommended actions Activate robot from the Jogging window, or program. Check work object and program."
50076,Orientation not correct,Orientation is incorrectly defined. Recommended actions Make an accurate normalization of the quaternion elements.
50078,Too many close positions,Too many consecutive closely spaced positions. Recommended actions Increase the distance between consecutive close positions.
50079,Cannot use wrist weaving,Wrist weaving not possible. Recommended actions Use smaller weaving amplitude or a larger TCP.
50080,Position not compatible,The desired position cannot be reached with the given robot configuration. Robot arg . Recommended actions Modify the robot position in the program. Continues on next page Technical reference manual - Event logs for RobotWare 7 241 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 6 Number series: 5 xxxx Continued
50082,Path calculation time exceeded,"The path calculation time for mechanical units running in motion planner arg exceeds internal limit. The motion task did not execute within its time limit. Probable causes The CPU load is too high. Could for example be generated by too frequent I/O communication. Recommended actions 1 Set system parameter 'High Interpolation Priority' for the affected motion planner. 2 Try to reduce the CPU load by one or more of the following actions: 3 Reduce speed. 4 Change AccSet. 5 Avoid singularity (SingArea\Wrist). 6 If the error comes directly after start from finepoint, increase the system parameter 'Interpolation Buffer Startup Adjust' in topic Motion and type Motion Planner."
50085,Too many user frames,For mechanical unit arg more than one user frame has been defined. Recommended actions Take away one user frame or define one more mechanical unit.
50086,Singularity problem,Too close to wrist singularity with respect to numerical resolution for joint 4 of arg . Recommended actions Change destination position a few increments.
50087,Singularity problem,Too close to wrist singularity with respect to numerical resolution for joint 6 of arg . Recommended actions Change destination position a few increments.
50088,Restart not possible,It is not possible to restart the path due to a previous error. Recommended actions Move the program pointer to clear the path and start a new movement.
50089,Weaving changed,Task: arg . The ordered weaving is not achieved due to: • High weaving frequency. • Not allowed shift of weave method or • that SingArea/Wrist is used with wrist weave. Program ref. arg . Recommended actions Increase weave length or period time. Don't shift between arm and wrist weave. Use SingArea/Off with wrist weave.
50091,Restart not possible,Restart no longer possible. Change of mechanical unit state made restart of program impossible. Recommended actions Move the program pointer and start a new movement.
50092,Axis computer response,Incorrect response from the axis computer. Recommended actions Check Motion system parameters. Check the axis computer hardware.
50094,TuneServo not possible,Tuning is not implemented for the specified joint. Recommended actions Verify that a parameter and/or joint that can be used with TuneServo is chosen.
